cluster_20:Slc14a2,Lrba,Col4a3,Col4a4,Ranbp3l,Akr1b3,Agmo,Cobll1,Abcc4,Tfdp2,Neat1,Dnm3,Arl15,Hspa4l,Apbb2,Mier3,Galm,Hnrnpr,Lmo7,Col4a5,Slc5a3,Mrps6,Fut9,4932438A13Rik,Me1,Tmcc3,Pax2,Nbeal1,Pax8,Lncpint,Utrn,Sim1,Tns3,Gramd1b,Uvrag,Shroom3,Fam49b,Pde1c,Pcx,Cgnl1,Gls,Ptprj,Nek10,Samd12,Syne2,Slc12a2,Dtnb,Itpr2,Egfr,Cpne8,Btbd3,Ptp4a2,Mon2,Med12l,Tiam1,Malat1,Pik3c2a,Kank1,Ppip5k2,Arhgef3
cluster_21:Rmst,Dach2,Runx1,Unc5d,Mecom,Hmga2,Esr1,Il1rapl2,Chst9,Lypd6b,Kctd1,Wfdc2,Runx2,Grik4,Agbl4,Caln1,Fgf9,Npnt,Pax8,Plch1,Ubash3b,Cdkl1,Arnt2,Slc25a13,Kcnc2,Xist,Ltbp1,Etl4,Tsix,Mid1,Ppp2r2b,Erbb4,Sema6a,Glis3,Fras1,Sdk1,Adgrl3,Cdon,Dach1,Cux1,Grip1,Cadm1,5730522E02Rik,Nfat5,Negr1,Zfp385b,Cdk14,Ptbp3,Rad51b,Cdh2,Fmnl2,Mir100hg,2610307P16Rik,Robo1,Znrf3,Ptprk,Nhs,Sox5,Meis1,Rps6ka3
cluster_22:Lsamp,Cacna2d3,Rbm24,Dpp6,Cacnb2,Prkg1,Enpp2,Tbx18,Kcnip1,Myom1,Fgf7,Mylk,Nt5e,Abcc9,Dmd,Ppp1r12a,Stac,Itga1,Synpo2,Cap2,Carmn,Pde5a,Fbxl7,Dgki,Phactr1,Rgs6,Kcnma1,Myocd,Slc24a3,Mrvi1,Rbpms,Sulf1,Unc5c,Sparcl1,Ncald,Slc8a1,Gm31243,Itga9,Akap6,Galnt17,Pard3b,Pdgfd,Cpeb3,Trps1,Mmp16,Fnbp1,Klf12,Ppp1r12b,Entpd1,Kcnip4,Ppm1e,Nexn,Gm20754,Adamtsl1,Ints6l,Atp2a2,Plcl1,Ltbp1,Ppp3ca,Hdac9
cluster_23:Gmds,Slc12a2,Grip1,Erbb4,Itprid1,Esrrg,Fut9,Naip5,Fstl4,Barx2,Chst9,Trim2,9530026P05Rik,Gsdmc3,Prr16,Runx1,Nr3c2,Tfcp2l1,Cadps2,Ehf,Wwc1,Acss1,Cyp2f2,Kctd1,Mecom,Runx2,Slc39a8,Shank2,Apobec3,Anxa1,Ppargc1a,Epb41l4b,Atp1b1,Tc2n,Gsdmc2,Naip6,Vtcn1,Tspan8,Ceacam1,Plch1,2700054A10Rik,Lncpint,Ccnd3,March3,Ralgapa2,Nbea,Alcam,Limk2,Crybg1,Eps8,Naaladl2,Myo1d,Mpp7,Cdk19,Acer3,Mcc,Slc4a7,Sh3rf1,Ank3,Sntg1
cluster_24:Esr1,Ppp2r2b,Mecom,Chst9,Runx1,Fut9,Sgms2,Eya2,Nrip1,Padi1,Kctd1,Rmst,Abcc4,Erbb4,Itprid1,Hmga2,Fmo2,Itpr2,Car12,Mob3b,Junos,4833423E24Rik,Slc14a1,Ehf,Wfdc2,Samd12,Pax2,Pgr,Hmgcll1,Ablim1,Slc7a11,Morrbid,Atp11a,Frmd4b,Pla2g4a,Mid1,Slc12a2,Phactr2,Rttn,Dach1,Arhgap42,Naaladl2,Gmds,Rps6ka3,Sel1l,Grip1,Cdh13,Meis2,Dpyd,Cnksr2,Sgms1,Stxbp6,Thsd4,Alcam,Galnt7,Pdxdc1,Rnf128,Sdk1,Ghr,Esrrg
cluster_25:Ebf1,Prkg1,Ctnna3,Dgkb,Gpc6,Pde3a,Dlc1,Kcnab1,Olfr78,Lhfp,Gucy1a2,Zeb2,Plcl1,Itga4,Sox5,Slc7a2,Gucy1a1,Morrbid,Pdgfrb,Rerg,Notch3,Flt1,Jag1,Pde1a,Adamts12,Frmd4a,Mef2c,Slit3,Abcc9,Ryr2,Col4a1,Eln,Itga1,Adarb1,Cdh2,Sparc,Cdk14,Pakap.1,Peak1,Sept7,Fbn2,Gpc4,Col3a1,Fn1,Pdlim5,Epha3,Col1a2,Limch1,Ltbp1,Nckap5,Adam12,Ntrk3,Grb10,Zfpm2,Ext1,Col12a1,Gnas,Crim1,Cpa6,Unc5c
cluster_26:Ttn,Dlg2,Neb,Rian,Erbb4,Mybpc1,Myl1,Nav3,Gm28653,Megf10,Lama2,Tcf4,Eya4,Hs6st2,Arpp21,Clcn5,Ncoa1,Dlk1,Tbx15,Nrk,Mirg,Myh3,Rbm20,Peg3,Actn2,Fgfr4,Ccdc141,Ryr1,Pkia,Itm2a,B830012L14Rik,Meg3,Sntb1,Sema6a,Celf2,Ptprd,Slf2,Bmpr1b,Inpp4b,C430049B03Rik,Fgf13,Myo16,Grip1,Mef2c,Pde4b,Grb10,Zeb1,Gnas,Pdgfc,Sox6,Akap6,Kcnq1ot1,Map4,Myom1,Dclk1,Nnat,Cacna2d1,Prkg1,Palld,Dmd
cluster_27:Lama2,Dcn,Abi3bp,9530026P05Rik,Fmo2,Abca8a,Tnxb,Ebf1,Pid1,Mill2,Bicc1,Plscr4,Cped1,Cfh,Ank2,Zbtb20,Efemp1,Negr1,Adamtsl1,C1qtnf7,Col3a1,Matn2,Heg1,Acss3,Plpp3,Gulp1,Eln,Col14a1,Ar,Gsn,Tgfbr3,Svep1,Enpp2,Col5a2,Colec12,Col1a2,Zbtb16,Mir99ahg,Esr1,Lrmda,Prex2,Arhgap6,Sptbn1,Vav3,Igf1,Tmtc1,Kcnt2,Rora,Angpt1,Adamts12,Nlgn1,Cdh13,Man1a,Magi2,Dpyd,Epha3,Hs6st3,Col4a6,Rad51b,Plxdc2
cluster_28:Cp,Apobec3,Fmo2,Ptpn14,Trp63,Adarb2,Cdh13,Ccdc3,Trpm3,Camk4,Kank4,Megf11,Sh3rf2,Gm13219,Ston2,Blnk,Slco2a1,Vav3,9530026P05Rik,Arhgap24,Frmd4b,Car8,Kitl,Sox6,Itgb4,Zfp804b,Mir205hg,Pard3,Cpa6,Tgfbr3,Sik1,Aldh1a1,Lama3,Egfr,Itga6,March3,Cpne8,Crybg1,Dpyd,Bcl11a,Dst,Il1rap,Ar,Mid1,Erbb4,Sned1,Rbms3,Kif13a,Galnt18,Ctdspl,Cpd,Smarca2,Sh3rf1,Arhgef3,Mcc,Rbbp8,Npas3,Adamts9,Cacna2d1,Filip1l
cluster_29:Gm7714,2310057J18Rik,Gm20275,Esrrg,Erbb4,Esp8,Odam,Rbm47,Pip,5330417C22Rik,Cpd,Bach2,Ncald,Clec2d,Elmo1,Neat1,Dpyd,Oit1,Furin,Cracr2a,Thrb,Slc12a2,Sntb1,Pde4b,Chpt1,Gfpt1,Barx2,Shroom3,Gm10863,Arfgef3,Arhgap29,Oxr1,Ica1,Chrm3,Sidt1,B4galnt2,Smim14,Cd44,Gne,Limch1,Dgkg,Cadps2,Galnt3,Tc2n,Cpeb3,Ell2,Deptor,Gmds,Arhgef28,Ccnd3,Ralgapa2,Pde4d,Kcnma1,Pik3r1,Fbxw7,Gm42418,Naaladl2,Man2a1,Zfr,Slc4a7
cluster_30:Hcn1,Rgs6,Tex15,Adgrd1,Art3,Dgki,Lmcd1,Akap6,Dock3,Trdn,Fbxo32,Myom1,Cap2,Dtna,Entpd1,Dmd,Adam33,Sntg2,Otogl,Rgs2,Mylk,Zbtb16,Des,Rbfox3,Sparcl1,Pde5a,Cacna2d3,Myh11,Atp2b4,Col25a1,Carmn,Kcnn2,Myocd,Cacnb2,Itprid2,Chrm3,Ryr3,Pdlim3,Stac,Filip1,Tns1,Ppp1r12a,Fam129a,Mrvi1,Rbpms,Pgm5,Cacna1c,Peli2,Fnbp1,Ptprm,Svil,Arhgap6,Kcnq5,Plcb4,Sema3a,Plcl1,Aff2,Pdzrn3,Dlg2,Lsamp
cluster_31:Frmpd4,Rmst,Cp,Clca3a2,Slc25a21,Camk4,Chst9,Slco2a1,Edaradd,9530026P05Rik,Fam13a,Trp63,Prdm16,Emb,Eya2,Blnk,Apobec3,Ptpn14,Ston2,Sh3rf2,Nebl,Clca3a1,Clmn,Fgf12,Aldh1a1,Cadps2,Ctnnd2,Crybg1,Cdcp1,Atp8a1,Grik4,Tbx3os1,Arhgap24,Npas3,Gm13219,Sh3rf1,Naaladl2,Tgfbr3,Ehf,Vav3,Fhod3,Sik1,Rffl,Dpyd,Nfkb1,Zbtb16,Abr,Egfr,Fgfr2,Cdon,Rbms3,App,Ar,Cachd1,Phactr2,Frk,Satb1,Bach2,Nav2,St5
cluster_32:Cenpf,Cenpe,Pitx2,Sec23a,Hist1h2bc,Ghr,Prrc1,Gata6,Hmgcr,Pank3,Xpo1,Ttn,Agbl1,Trdn,Neb,Mlip,Mybpc1,Fgf13,Myh8,Atp2a1,Myh4,Ryr1,Tbx15,Myh1,Nctc1,Cmya5,Egf,Ldb3,Slc8a3,Rbfox1,Obscn,Mylk4,Car3,Ky,Myl1,Mypn,Xirp2,Ppp1r3a,Arpp21,Mlf1,Gm26740,Atp1a2,Myot,Dpf3,Tnnt3,Cacna1a,Hs3st5,Ctnna3,Mef2c,Limch1,Akap6,Jph1,Cdh13,Adcy2,Sox6,Pde4dip,Dtna,Neat1,Filip1l,Nr3c2
cluster_33:Myom1,Map4,Dmd,Acyp2,Prune2,Stim1,Sgcd,Erbb4,Pde4b,Rps6ka5,Palld,Ranbp3l,2310057J18Rik,Pip,Sim1,Gm7714,Nek10,Slc14a2,Pax8,Prol1,Galm,Col4a3,Pax2,Col4a4,Pcx,Slc5a3,Hspa4l,Mrps6,Mier3,Akr1b3,Dnm3,Gramd1b,Tmcc3,Fut9,Shroom3,Neat1,Me1,2210408F21Rik,Agmo,Abcc4,Cobll1,Lncpint,Samd12,Esrrg,Tns3,Gm20275,Slc12a2,Tfdp2,Dtnb,Ptprj,Col4a5,Uvrag,Syne2,Lrba,Uty,Gpr39,4932438A13Rik,Itpr2,Lmo7,Apbb2
cluster_34:Pik3c2a,Mecom,Fam49b,Utrn,Malat1,Arl15,Egfr,Hnrnpr,Nbeal1,Ptpn13,Exoc6b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cluster_35:NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cluster_36:NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cluster_37:NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
